昵称,时间,评论内容
然然只爱旭旭,2020-12-03 09:16:00,带我分一点
晛于冰心,2020-12-02 23:04:00,为嫦娥五号加油！
皇家三仔QQ糖,2020-12-02 23:03:00,为嫦娥5号喝彩，为伟大的祖国加油
HelloMalatang,2020-12-02 23:08:00,嫦娥五号加油，给祖国点赞
木灵烟,2020-12-02 23:19:00,厉害了我的国，厉害了嫦娥五号！！！        
乌托邦之哀伤,2020-12-02 22:59:00,加油点赞        
清韵如朱弦,2020-12-02 22:58:00,为嫦娥五号加油！        
Yeah蜻蜓,2020-12-03 06:40:00,为嫦娥五号打call，祖国万岁！！！        
楠楠泰菲昊,2020-12-02 22:59:00,嫦娥五号加油！！！
平湖煙雨__,2020-12-03 00:17:00,嫦娥五号加油
陈芊芊·,2020-12-02 22:58:00,好棒        
·初璃兮微·,2020-12-02 23:03:00,嫦娥五号太棒了，央央总给我们看电影，哈哈哈哈        
吾爱吾师吾尤爱真理,2020-12-02 23:08:00,虽然不懂，但是真的自豪
先生来杯奶茶呗,2020-12-03 00:51:00,超棒，嫦娥五号加油
大杠精,2020-12-02 22:59:00,看的心潮澎湃，感觉未来的中秋节可以去月球上赏月了        
旅游-小涞源,2020-12-03 00:03:00,发射上去需要多长时间到月球        
叔Seven,2020-12-04 08:16:00,欢迎回家
翱翔喵,2020-12-03 23:45:00,太伟大！！！！！！！        
朕就是有点略萌,2020-12-03 22:50:00,微众找深圳自媒体洗白，已经有公司接了，但凡有良知的公司都不能干这种事，大家顶起来啊        
夏日甜心85,2020-12-03 13:07:00,恭喜恭喜，准备迎接嫦娥回归
waiting-喵,2020-12-02 23:56:00,太棒了
漫步慢生活yy,2020-12-02 23:23:00,厉害了！牛🐮！嫦娥五号加油
没有原因v,2020-12-02 23:15:00,加油！
cici是丁丁,2020-12-02 22:58:00,哇 真好啊 不得不感叹祖国伟大
W虹猫蓝兔,2020-12-02 22:57:00,真好[米奇比心]        
热爱是彼此的约定,2020-12-02 22:57:00,哇！
是Timmy的姐姐_,2020-12-03 15:39:00,好想摸一摸来自月球的土
十里荷田,2020-12-02 23:47:00,啥时候回来        
宸月i,2020-12-02 23:45:00,祖国的强大，浩瀚星空的宇宙探索，嫦娥五号探测器成功发射，嫦娥五号着陆月球，为嫦娥五号加油！中国加油🇨🇳🇨🇳🇨🇳        
孙小松A,2020-12-03 17:17:00,说句实话，这技术真的太牛逼了！        
旺财要吃鱼,2020-12-03 15:10:00,几千年的神话故事在我们这里变成了现实。        
风吹屁屁凉啊凉啊凉,2020-12-03 11:58:00,古代实现不了的事情   现在做到了        
秋荷陌香莲,2020-12-02 23:39:00,👍        
大智若愚only,2020-12-02 23:28:00,祝贺        
燕望南歸,2020-12-04 07:16:00,為嫦娥五号喝彩 !        
尹念nianniannian,2020-12-03 23:23:00,它给我们带来了月球的土特产
CR_JJ,2020-12-03 21:37:00,厉害了我的国！祖国万岁！冲啊！喵得full        
我家师兄美如画L,2020-12-03 13:09:00,为嫦娥五号喝彩，加油啊
Wangyanfen6,2020-12-02 23:04:00,加油
无为李爷,2020-12-03 18:04:00,问讯吴刚何所有，吴刚捧出桂花酒。        
小小da59,2020-12-03 15:29:00,厉害了！致敬“嫦娥”5号设计、研制、指挥、运行、控制的所有人员！你们辛苦了！
Captainlzs,2020-12-02 23:39:00,加油加油，好棒
诗人张峰,2020-12-04 10:06:00,加油💪        
卓嘎嘎·,2020-12-04 08:30:00,真漂亮        
你走开别烦我丶,2020-12-04 08:27:00,加油！！！        
橘子半冉,2020-12-04 07:20:00,嫦娥五号
222bayyan,2020-12-04 07:05:00,激動人心，祖國航天加油，為嫦娥五號加油，        
满园果实,2020-12-04 06:37:00,为中国航天点赞！        
齿痕22047,2020-12-04 05:56:00,航天科技工作者加油点赞！        
迫不及待来了,2020-12-03 23:51:00,转发微博        
超手兔,2020-12-03 22:39:00,转发微博        
奶兔俱乐部,2020-12-03 19:32:00,为嫦娥5号加油！！！        
非常一一011,2020-12-03 18:43:00,为嫦娥五号加油！        
奶油小熊chesse,2020-12-03 18:33:00,嫦娥五号，好棒哦～期待你的返航，帮我跟嫦娥和玉兔问好！💗        
吴腻腻V,2020-12-03 17:05:00,怎么回来？        
阿付de影子,2020-12-03 16:53:00,我爱我的祖国🇨🇳
妹醬的媽咪是偶,2020-12-03 16:49:00,嫦娥五號 加油！
重庆升学霸,2020-12-03 16:47:00,【
颖影心中,2020-12-03 16:04:00,中国航天
元气socks,2020-12-03 15:50:00,嗯        
喜欢吃哈密瓜哦,2020-12-03 14:49:00,嫦娥五号加油！        
Diven_handsome_soldier,2020-12-03 14:46:00,加油嫦娥        
奇荒,2020-12-03 13:24:00,【
星辰大海LMM,2020-12-03 13:17:00,用春晚小品的话说：我骄~傲！        
王小妈是姐姐,2020-12-03 12:17:00,虽然看不太懂，可还是要点赞
君LIN天下K,2020-12-03 11:31:00,嫦娥奔月        
草莓西瓜奶昔,2020-12-03 11:17:00,留着给儿子看        
现在爱逸,2020-12-03 10:13:00,为嫦娥五号加油        
爱吃肉的豹猫,2020-12-03 08:21:00,每每看到长征升空，这个自豪感爆棚        
鸢尾花的精彩,2020-12-03 05:58:00,厉害了我的国，为我的国骄傲！自豪！！        
奶熊味的包纸,2020-12-03 01:38:00,祖国的航空航天就是厉害！厉害了胖五！        
ZzhaoO,2020-12-03 00:33:00,棒！        
·octopus,2020-12-03 00:23:00,太棒了        
暖烊爱鱼糖,2020-12-02 23:38:00,加油加油啊        
凯味甜橙o,2020-12-02 23:31:00,嫦娥五号加油！厉害了我的国！🇨🇳        
左丝琦想,2020-12-02 23:27:00,加油！        
小可爱袁三岁,2020-12-02 23:22:00,厉害啊，中国        
麻薯奶茶好喝,2020-12-02 23:19:00,加油！        
维他还是养乐多,2020-12-02 23:16:00,奥利给，，冲鸭
小熊熊的公主范,2020-12-02 23:14:00,加油嫦五        
梦的记忆__,2020-12-02 23:11:00,什么时间回来        
lulucas,2020-12-02 23:11:00,嫦娥五号加油！        
改变就从现开始,2020-12-02 23:07:00,加油
心若天涯飞翔,2020-12-02 23:04:00,赞👍        
其实搁浅了,2020-12-02 23:03:00,为嫦娥五号加油！        
永春气象,2020-12-02 23:01:00,引以为豪[米奇比心]        
rothroger,2020-12-02 23:01:00,伟大祖国，万岁！！！        
然后在杜塞,2020-12-02 23:00:00,每个关键点的摄像头都好厉害啊～        
寒山323,2020-12-02 23:00:00,点赞👍太棒了        
人形貓咪neko,2020-12-02 23:00:00,[我爱中国]
有且瑾有唯艺解,2020-12-02 23:00:00,哇哦，嫦娥五号加油[米奇比心][米奇比心][米奇比心][米奇比心]
YOUUdiamond,2020-12-02 22:59:00,好棒！！        
守护北北的灯,2020-12-02 22:58:00,好厉害喔        
沐洋yu,2020-12-02 22:58:00,太牛了🐮        
远川雾间,2020-12-02 22:58:00,太厉害了        
了了蓝000,2020-12-03 21:54:00,科研人员太棒了！！！        
红红发小脾气有点紧张,2020-12-03 19:52:00,厉害👍        
凯程法硕,2020-12-03 16:04:00,为嫦娥五号加油！
为什么柠檬不酸,2020-12-05 11:53:00,加油
年伍,2020-12-04 21:28:00,加油        
爱好摄影的姥爷,2020-12-04 21:28:00,科技强国，真实无妄！！！
伶舟茗凉,2020-12-04 20:19:00,嫦娥五号加油，给祖国点赞
卖盆卖鱼卖燕燕,2020-12-04 19:03:00,转发微博        
_素年0909,2020-12-04 10:55:00,棒棒哒        
Lotusness1996,2020-12-04 10:54:00,自豪        
宋茜啊,2020-12-04 10:43:00,我的祖国太厉害了！        
重庆广电全媒体,2020-12-04 10:41:00,转发微博        
找不着调ss,2020-12-04 10:14:00,冲！！
当下花房·书里有品-Ada,2020-12-04 10:07:00,我也不知道为啥，我居然看哭了。        
哈尔滨欧亚男科医院,2020-12-04 09:57:00,转发微博        
开开心心不动脑筋m,2020-12-04 09:57:00,看的很激动，我们的国家和航天科技人员真厉害！        
小小怪19223,2020-12-04 09:39:00,嫦娥五号加油        
好一只丘,2020-12-04 09:28:00,太神奇了！        
若萱紫馨Cecilia,2020-12-04 09:18:00,转发微博        
丽江消防,2020-12-04 09:12:00,【
花开在栅栏外19417,2020-12-04 08:50:00,转发微博        
Hello南在南方,2020-12-04 08:43:00,爱我大中华
一张小帕子,2020-12-04 08:36:00,看着看着就泪目了，祖国强大了
YSM_FIGHTING,2020-12-04 08:34:00,牛        
小怪兽不睡觉,2020-12-04 08:32:00,祖国加油        
人生唯有努力与坚持不可辜负,2020-12-04 08:31:00,好伟大！！！        
哇哇哇卡啦啦,2020-12-04 08:27:00,虽然没有完全看懂，但是觉得太太太牛批了        
杨小熙熙607,2020-12-04 08:09:00,为什么这么一大块铁都能升上月球？百思不得其解！        
美好的人类啊,2020-12-04 07:16:00,转发微博        
W玲丫丫326,2020-12-04 01:26:00,太棒啦        
Hildayy,2020-12-04 00:53:00,好厉害
残殇51973,2020-12-04 00:16:00,加油加油        
罗星-Star,2020-12-03 23:49:00,这也太牛了，赞👍        
天边sky5,2020-12-03 23:43:00,为嫦娥五号加油
爱方方小姐,2020-12-03 23:41:00,祖国强大，骄傲        
WWW依凡阿,2020-12-03 23:40:00,为祖国点赞
橡皮擦的传奇,2020-12-03 23:21:00,中国航天，国之骄傲🇨🇳🇨🇳        
WMQ12,2020-12-03 22:15:00,好神奇~~        
parameter-,2020-12-03 21:59:00,我爱我的国！        
CR_JJ,2020-12-03 21:44:00,立刻转发微博
爱笑的人运气一定不会太差ai,2020-12-03 21:11:00,加油加油💪        
我am略略略,2020-12-03 20:56:00,嫦娥五号棒棒哒！！太nice啦！！！        
F92165100,2020-12-03 20:56:00,厉害了我的国        
一个怀念家乡美食的异乡游子,2020-12-03 19:54:00,祖国很厉害了！非常棒！
喵了个咪琼,2020-12-03 19:44:00,激动人心        
这里是小小小小周同学,2020-12-03 19:04:00,太酷了这也！        
江西理工大学材料冶金化学学部,2020-12-03 19:01:00,【花椰菜时讯】 
阳光晴子sky,2020-12-03 18:49:00,嫦娥五号雄起！
w铄铄哟,2020-12-03 18:24:00,加油点赞        
飞过时间的海9487,2020-12-03 18:20:00,为嫦娥五号加油        
那爱还继续,2020-12-03 18:11:00,期待下一步载人登月
叹息之牙kiva,2020-12-03 18:09:00,赞        
小蜜蜂_201010,2020-12-03 17:52:00,嫦娥五号加油！
金塔县融媒体中心,2020-12-03 17:12:00,转发微博        
中国招标网,2020-12-03 17:02:00,回顾精彩瞬间，为嫦娥五号加油！        
慢慢热先森,2020-12-03 16:59:00,助推器掉进宇宙会落到哪里去呢        
千禧老阿姨烎,2020-12-03 16:59:00,相机画面怎么也是动画演示
朙月净松林,2020-12-03 16:59:00,感觉这个配乐有点不搭。。        
中国姚庄,2020-12-03 16:44:00,转发微博        
南冥199109,2020-12-03 16:35:00,嫦娥五号加油！！！
重庆广电全媒体,2020-12-03 16:18:00,转发微博        
lukytalia,2020-12-03 16:03:00,好厉害
粥粥粥太福,2020-12-03 15:50:00,我爱你，中国🇨🇳❤️        
荀故风,2020-12-03 15:48:00,棒！        
人生充满了失败我会努力向前,2020-12-03 15:33:00,挺激动啊        
LinChunNan2015,2020-12-03 15:31:00,转发微博        
依然夏夏333,2020-12-03 15:28:00,棒！        
黄仁儿啧啧,2020-12-03 15:16:00,转发微博        
阿倩big,2020-12-03 14:55:00,好牛逼！！厉害了我伟大的祖国        
明光发布,2020-12-03 14:37:00,【
纳凉HT,2020-12-03 14:27:00,为什么视频这么糊，就不能弄个高清相机吗
Top10搞笑视频,2020-12-03 13:34:00,🐂🍺        
想吃提莫的蘑菇,2020-12-03 13:31:00,嫦娥加油，等你回家！        
南笙梦九情情,2020-12-03 12:49:00,❤️        
泡沫豆的时光,2020-12-03 12:44:00,加油加油        
千里一行客,2020-12-03 12:30:00,超酷
鹤子小姐拜托了,2020-12-03 12:13:00,激动，为嫦娥5号加油        
Halomercy,2020-12-03 12:13:00,祖国真棒👍        
菲尔设计网,2020-12-03 12:12:00,那些剩下的分离器怎么办？        
杨坤net,2020-12-03 11:55:00,收藏转发下        
在门外挂串风铃叮叮咚咚,2020-12-03 11:54:00,嫦娥五号加油💪        
Youth_lin,2020-12-03 11:49:00,nice～        
重度妄想症高龄病患者,2020-12-03 11:45:00,棒棒哒，就等下一次送宇航员上去了…👏👏👏        
安乐长明,2020-12-03 11:43:00,厉害了我的国
琳子Noral,2020-12-03 11:24:00,转发微博        
万联书院教考专家,2020-12-03 11:21:00,转发微博        
笑口常开的云,2020-12-03 11:19:00,【
ALLIANCE宇宙王国,2020-12-03 11:16:00,科技第一生产力        
超萌味小仙女,2020-12-03 11:13:00,加油        
阿拉小魔鱼月,2020-12-03 11:12:00,为 嫦娥五号加油        
KiraFairycon官方微博,2020-12-03 11:05:00,加油点赞        
鹏城大唐,2020-12-03 10:32:00,嫦娥五号
爱笑的晓晓A,2020-12-03 09:58:00,加油        
崂山团区委,2020-12-03 09:44:00,转发微博        
三分钟热度小姐one,2020-12-03 09:17:00,嫦娥五号加油！        
看瓜群众1983QAQ,2020-12-03 09:12:00,加油！        
花儿一曲舞倾城,2020-12-03 09:01:00,为祖国加油        
拓奇文旅,2020-12-03 08:51:00,拓奇文旅祝嫦娥五号圆满完成任务！        
成都市蒲江县经科信局,2020-12-03 08:51:00,【
给生活找点乐儿,2020-12-03 08:13:00,为嫦娥五号加油！        
d2020hlll,2020-12-03 07:45:00,棒棒哒
wBjhl,2020-12-03 07:37:00,牛B，我的国        
惠风和畅91631,2020-12-03 07:21:00,加油点赞！        
黄色沙丘,2020-12-03 07:12:00,棒棒哒！        
三年ej4781葫芦娃,2020-12-03 06:53:00,加油加油加油        
幸福有你xy,2020-12-03 06:46:00,嫦娥五号加油
阿拉小田,2020-12-03 06:31:00,为嫦娥五号加油，为中国航天加油。        
梧桐树下百合花,2020-12-03 06:28:00,👍 👍 👍 👍 👍        
东北猫521,2020-12-03 06:19:00,为嫦娥五号加油！        
起个名字都很费劲,2020-12-03 06:16:00,不吃饭谢谢        
跟着三毛去流浪Qq,2020-12-03 05:47:00,加油        
调皮蛋的雕麻麻,2020-12-03 04:40:00,科技工作者真棒
23年的庞加莱,2020-12-03 02:09:00,为嫦娥五号加油        
月亮小饼干呐_,2020-12-03 01:31:00,🇨🇳        
宝余玉雕艺术,2020-12-03 00:52:00,.        
红红火火恍恍惚惚哈哈哈哈后,2020-12-03 00:43:00,加油！        
青蜂侠1999,2020-12-03 00:32:00,嫦娥奔月，巨龙腾飞。        
虎风林下,2020-12-03 00:27:00,所有的苦难和背负尽头都是行云流水般的此时光阴。        
梦见lj,2020-12-03 00:23:00,中国航天，牛气冲天
Algorithz,2020-12-03 00:05:00,加油        
Mighty追忆,2020-12-03 00:02:00,加油！        
瘦死的骆驼比马大哇,2020-12-03 00:02:00,平安归来
零落FuTul,2020-12-02 23:57:00,祝贺        
吟游诗人小谪仙,2020-12-02 23:56:00,厉害了        
云梦玉璇,2020-12-02 23:53:00,给祖国点赞，为嫦娥五号加油        
嫌疑人S的刺身,2020-12-02 23:53:00,加油鸭～        
1307背对背拥抱,2020-12-02 23:49:00,厉害了，我的国👍🏻        
佳贝_加油,2020-12-02 23:48:00,真开心 为祖国自豪        
吃串串的串,2020-12-02 23:47:00,祖国万岁🇨🇳
阳wei早xie延时增长增粗锻炼秘术,2020-12-02 23:46:00,为嫦娥五号加油        
Huang富周,2020-12-02 23:40:00,加油        
漫游蓝湾,2020-12-02 23:37:00,加油        
木子il99,2020-12-02 23:37:00,为嫦娥五号加油
张小静爱睡觉,2020-12-02 23:35:00,好        
琪为自己变得更好,2020-12-02 23:34:00,是自豪的感觉。为嫦娥五号点赞，等着你回家！
不与真小人争利,2020-12-02 23:33:00,太强了        
lisrGoGo,2020-12-02 23:31:00,太了不起了        
秒懂姑娘怎么活,2020-12-02 23:28:00,点赞
望眼欲穿的眼,2020-12-02 23:27:00,太震撼了！嫦娥五号加油 ！厉害了我的国！        
子衿·邶风,2020-12-02 23:26:00,为嫦娥五号加油！        
静静的生活520,2020-12-02 23:22:00,嫦娥五号加油
刚好遇见你1014,2020-12-02 23:21:00,点赞        
为什么不能修改呢称,2020-12-02 23:21:00,嫦娥五号加油！        
123iiiaaannn,2020-12-02 23:19:00,Invisible Moment - Apple & Stone        
红薯suhong,2020-12-02 23:19:00,加油        
o夏日泡沫o,2020-12-02 23:18:00,加油！        
姜贞羽老婆,2020-12-02 23:18:00,好厉害        
啦啦-又见炊烟呀,2020-12-02 23:17:00,加油        
秦海泉城,2020-12-02 23:16:00,加油！        
兔女郎xp,2020-12-02 23:15:00,加油
战略高手V,2020-12-02 23:14:00,可上月球挖土，可下马沟捉鱼。        
来治丢那星的你,2020-12-02 23:13:00,酷        
是你的小粗腿,2020-12-02 23:09:00,惊叹        
txh1299998,2020-12-02 23:08:00,可上九天揽月，为中国航天点赞👍…        
清新淡雅15918,2020-12-02 23:08:00,为嫦娥五号加油！
昵称不可用啊呀这,2020-12-02 23:07:00,加油加油
易可爱y1y1q1x1,2020-12-02 23:07:00,哇啊        
转角遇见你885,2020-12-02 23:06:00,加油！        
松露奶味y,2020-12-02 23:05:00,中国加油 嫦娥五号加油        
松露奶味y,2020-12-02 23:05:00,好棒        
sunnylovemoney_5MY,2020-12-02 23:04:00,只能说牛！        
CBR辰Ba葱Ma,2020-12-02 23:04:00,嗖出去了，嗖又回来了
碧空洗知音稀,2020-12-05 11:38:00,为祖国喝彩
宅女noway,2020-12-05 10:05:00,什么时候回来呀
幻境o,2020-12-05 08:45:00,真棒        
赵九志,2020-12-04 21:00:00,嫦娥五号加油        
DL丨简单点,2020-12-04 20:59:00,加油(ง •̀_•́)ง嫦娥五号灬        
无欲则刚6711745245,2020-12-04 20:32:00,赞！        
金沐境炘,2020-12-04 20:27:00,为伟大的祖国立马赞👍        
梦逍遥333,2020-12-04 18:22:00,厉害👍        
老谢有话说2019,2020-12-04 12:35:00,这食品留着慢慢看！        
a石头记事,2020-12-04 11:03:00,牛        
F新房客,2020-12-04 10:59:00,音乐很赞        
漩涡浩翔,2020-12-04 10:23:00,爱我中国！        
樱花_不如你,2020-12-04 10:20:00,嫦五加油
Abb阿包包,2020-12-04 10:18:00,为嫦娥五号打Call
中年多啦A梦,2020-12-04 10:07:00,看的我热血沸腾        
哈尔滨冰江男科杨主任,2020-12-04 10:02:00,转发微博        
流年38199,2020-12-04 10:02:00,牛批        
_腾腾-,2020-12-04 10:00:00,转发微博        
一颗甜甜樱桃儿,2020-12-04 09:16:00,转发微博        
唯必驰,2020-12-04 08:51:00,月球风大吗？
霍凯泳,2020-12-04 08:51:00,祖国点赞，加油        
会发光的豆子202002,2020-12-04 08:50:00,厉害了我的国        
网信银川,2020-12-04 08:49:00,【
予醉200705,2020-12-04 08:41:00,全程激动，聚精会神的看完整个视频，嫦娥五号实现登月采样胜利，也是中国航天事业，又一个大进步，右下角画面呈现那么多航天人为之而奋斗，为他们自豪，为祖国自豪。他们如此优秀，身为青年的我们怎能不发奋图强。        
蓝小糖i,2020-12-04 08:24:00,嫦娥五号，加油！
河水红黑,2020-12-04 07:25:00,赞赞赞        
长岛上那辆AE86,2020-12-04 07:19:00,加油        
小林先生99,2020-12-04 07:15:00,蛋壳        
啵一口Q弹,2020-12-04 06:08:00,我们国家真是太棒了，自豪！        
BevinZhou,2020-12-04 04:06:00,嫦娥：回家喽～～～        
萌王星20151987,2020-12-04 04:02:00,不过        
公园前我们都太年轻,2020-12-04 02:45:00,黄子韬牵被出轨粉丝分手，点赞都40几万，这个为了全人类第的科技居然没什么人看        
Soar喵萌,2020-12-04 00:51:00,祖国很伟大！我爱我的祖国。微众找深圳自媒体洗白，已经有公司接了，但凡有良知的公司都不能干这种事，大家顶起来啊        
凤梨罐头-_-,2020-12-04 00:44:00,祖国加油！！        
梦见的世界,2020-12-04 00:03:00,转发微博        
萌神学霸Geranium,2020-12-04 00:01:00,为嫦娥五号加油！祖国万岁！        
z是这里的小張,2020-12-03 23:41:00,为嫦娥五号加油喝彩呀        
酷酷的冰宇宙,2020-12-03 23:31:00,帅        
我是King先生com,2020-12-03 23:19:00,视频制作技术有待进步，高大上的东西被视频显得过家家似的        
电影分享栈,2020-12-03 23:09:00,加油，等待回家的好消息        
爽心521悦目,2020-12-03 22:58:00,上可九天揽月 下可五洋捉鳖   毛主席万岁        
智光201712,2020-12-03 22:48:00,为嫦娥五号加油！
嗖嗖嗖呜,2020-12-03 22:39:00,有人知道啥时候回来吗
一颗小团糖,2020-12-03 22:27:00,嫦娥5号棒👍🏻 棒👍🏻 棒！祖国万岁！🇨🇳 🇨🇳 🇨🇳 🇨🇳         
笑问客从何处来123,2020-12-03 21:50:00,骄傲        
白白二十X,2020-12-03 21:44:00,真好        
阿彬分享站,2020-12-03 21:34:00,帮我把嫦娥姐姐夹回来        
vv千陵vv,2020-12-03 21:34:00,“月下飞天镜，云生结海楼。”   尔今揽明月，素娥问有由。 月亮是千百年来人类的共同情丝，观月常感人生渺小，月有常而人无常，如今揽月入怀，是战胜渺小的伟大挑战，也是全人类发展轨迹的伟大探索。
雨昕开心我就开心,2020-12-03 21:15:00,好骄傲！        
伏牛xx1,2020-12-03 21:08:00,转发微博        
p2946542110,2020-12-03 20:52:00,我好奇怎么飞回来        
在牧羊的姑娘,2020-12-03 20:33:00,好厉害👍        
bluetintin,2020-12-03 20:25:00,🚀🚀🚀
孙米米Mia,2020-12-03 19:53:00,厉害了！加油！        
158度zd充电宝,2020-12-03 19:05:00,为嫦娥五号加油！        
实战者小柯老师,2020-12-03 18:59:00,转发微博        
陆羽会-唐欣儿,2020-12-03 18:58:00,转发微博        
月球,2020-12-03 18:31:00,转发微博        
sasasa2020,2020-12-03 18:12:00,你让我点赞我就点赞？我偏不点赞
晨卿洛羽,2020-12-03 18:02:00,加油        
请叫我梅子丶,2020-12-03 18:00:00,祖国万岁        
wuli云云i,2020-12-03 17:29:00,太棒了        
想不出名字的小怪,2020-12-03 16:44:00,怎么可以这么厉害(ง •̀_•́)ง        
露科斯LuxeBidet,2020-12-03 16:40:00,为嫦娥五号加油！
修改不了自己,2020-12-03 16:36:00,为中国加油，未嫦娥五号加油        
我的傅贵儿,2020-12-03 16:32:00,为嫦娥五号加油！
半岛铁盒zz_,2020-12-03 16:27:00,为嫦娥五号喝彩，为强盛中国喝彩！
慧聪网,2020-12-03 16:21:00,为伟大的祖国加油！！！
ZOTENO,2020-12-03 16:16:00,厉害了我的国，厉害了嫦娥五号！        
T2T与Q8Q,2020-12-03 16:15:00,赞👍🏻        
仙女爱肉肉,2020-12-03 16:12:00,嫦娥五号加油～        
四月好懒,2020-12-03 16:06:00,转发微博        
mookook,2020-12-03 16:06:00,转发微博        
此昵称太拉轰,2020-12-03 15:49:00,我自豪我骄傲        
表哥达文西,2020-12-03 15:48:00,只有国家的强大在你背后才会有人跟你谈上下的文明，才认可你所经历文化。        
孤毒_khgzt,2020-12-03 15:47:00,赞👍🏻        
innisfreezxw,2020-12-03 15:35:00,祖国万岁        
抹茶榴莲cp,2020-12-03 15:33:00,采样也太可爱了        
胡西脑上,2020-12-03 15:30:00,什么时候月亮可以成为旅游景点？        
寿山石陳穻澔,2020-12-03 15:27:00,666666        
徐黄丽,2020-12-03 15:22:00,转发微博        
没有喜欢你,2020-12-03 15:15:00,嫦娥追月~嘿嘿
POP·CORN,2020-12-03 14:52:00,加油        
付婧彤,2020-12-03 14:40:00,为嫦娥五号加油喔        
别样风景20191,2020-12-03 14:30:00,转发微博        
汐汐喝喝,2020-12-03 14:22:00,99年的兔兔为姐姐加油🙋🙋        
天使般的坏坏-,2020-12-03 14:13:00,好嗨哟        
啊啊啊啊胖胖,2020-12-03 13:56:00,我怎么这么厉害        
雨童吃不饱,2020-12-03 13:54:00,好棒        
Run啊baby,2020-12-03 13:51:00,嫦娥知道吗
奇云雪,2020-12-03 13:38:00,我爱你中国。爱你嫦娥五号。加油！        
减肥药推荐复刻奢侈品塔罗牌,2020-12-03 13:19:00,见证奇迹        
lixuejingisveryverylihai,2020-12-03 13:17:00,中国太厉害了        
天津鲲鹏影视,2020-12-03 13:17:00,转发微博        
怡然神往c,2020-12-03 13:11:00,转发微博        
哦豁哦豁我来了,2020-12-03 13:10:00,厉害了我的国
Yocss,2020-12-03 13:08:00,加油我的国        
柠檬味芋圆儿,2020-12-03 12:52:00,好棒！        
冰binladen,2020-12-03 12:36:00,有原版高清就好了，中国航天加油        
W45071,2020-12-03 12:30:00,太厉害了我的国！        
Abudula·aihamed·kkx,2020-12-03 12:25:00,加油        
夸美纽斯爱古德莱德,2020-12-03 12:20:00,冲冲冲！        
歆芓,2020-12-03 12:13:00,祖国强大        
起点刺嫩芽,2020-12-03 12:08:00,祖国牛逼！        
zbbz漂走了,2020-12-03 12:03:00,转发微博        
唔想玩咀,2020-12-03 11:58:00,在宇宙看来，人类是多么多么的渺小        
Christer_JIANG,2020-12-03 11:39:00,俺看见一只蟑螂
楼兰的秘密你不懂,2020-12-03 11:37:00,我们的国家越来越好        
我是肥猫王,2020-12-03 11:36:00,感恩心怀宇宙的科学家们让我们领略太空风光
喜欢的名字被占用了了,2020-12-03 11:32:00,多久回来        
Acs_Tang,2020-12-03 11:30:00,厉害了，我的国。 满满的自豪！        
阿凡达尼洛佩斯,2020-12-03 11:08:00,上九天揽月
傻傻的小鱼,2020-12-03 11:06:00,为嫦娥五号加油        
宇宙幸运林,2020-12-03 10:41:00,第300来加油(ง •̀_•́)ง        
明天0096,2020-12-03 09:05:00,加油💪💪💪        
杨洋修崽儿0909,2020-12-03 08:53:00,伟大祖国加油！        
楼兰的秘密你不懂,2020-12-03 08:43:00,加油        
1979漂洋过海,2020-12-03 07:52:00,嫦娥五号好聪明！真乖！！！        
那疙瘩_10800,2020-12-03 07:49:00,转发微博        
caicaisora,2020-12-03 07:47:00,嫦娥五号加油！        
我爱深深的歌,2020-12-03 07:31:00,厉害了我的国        
我是小丁哥哥_793,2020-12-03 07:26:00,十分震撼 中国牛逼        
咛呀_75877,2020-12-03 07:23:00,傲娇🇨🇳        
以点传奇倩,2020-12-03 05:43:00,加油        
白粹奇68,2020-12-03 05:05:00,中国加油        
為昕撐傘,2020-12-03 04:16:00,嫦娥五號真的是太厲害了 加油 期待回顧        
厉害了word喵姐,2020-12-03 02:35:00,好想看月球的背面到底是什么样子的
松胧子,2020-12-03 01:20:00,祖国的强大，浩瀚星空的宇宙探索，嫦娥五号探测器成功发射，嫦娥五号着陆月球，为嫦娥五号加油！中国加油🇨🇳🇨🇳🇨🇳        
AR_廷你Queen,2020-12-03 01:03:00,为嫦娥五号加油！
TD少博,2020-12-03 00:13:00,移民        
安安和梅根,2020-12-03 00:02:00,加油啊啊啊        
国王的小天地,2020-12-02 23:59:00,美丽，震撼        
云凤初东欣,2020-12-02 23:54:00,赞 
库三空二,2020-12-02 23:48:00,转发微博        
小淇的钓鱼竿,2020-12-02 23:46:00,嫦娥五号加油(ง •̀_•́)ง        
专属Qiu小红本,2020-12-02 23:45:00,震撼，嫦娥加油(ง •̀_•́)ง        
miekebay,2020-12-02 23:40:00,嫦娥五号加油！        
土的味道我知道nU,2020-12-02 23:39:00,棒棒哒        
宋去考试,2020-12-02 23:39:00,太棒了！！        
爱兜风的月亮,2020-12-02 23:31:00,好壮观        
沙币速速退散看啥说的就是你,2020-12-02 23:30:00,为祖国点赞，为嫦娥五号点赞呀        
你好成歌哥05153,2020-12-02 23:29:00,加油(ง •̀_•́)ง        
爱龙在天涯1,2020-12-02 23:20:00,还有关键一步，起飞对接呢！        
果苗1号,2020-12-02 23:18:00,为嫦娥五号加油
电影发言人,2020-12-02 23:17:00,这……        
小圈吖_,2020-12-02 23:15:00,为嫦娥五号加油打call        
琉溜溜溜溜,2020-12-02 23:14:00,嫦娥五号加油！        
